City,Country,Temperature (F),Humidity,Cloudiness,Wind Speed (mph),Longitude,Latitude
Biedershausen,DE,54.21,93,0,1.19,7.48,49.32
Järfälla Kommun,SE,55.15,87,75,9.17,17.87,59.41
Odemira (São Salvador),PT,67.14,76,7,7.54,-8.63,37.64
Al Fujayr,YE,97.5,13,0,8.25,48.8,15.97
Orcutt,US,62.46,77,1,1.01,-120.44,34.87
Eschach,DE,51.39,87,0,2.24,9.87,48.89
Courbevoie,FR,52.84,87,0,3.96,2.26,48.9
Holzkirchen,DE,49.24,100,0,2.24,11.7,47.88
Mancha Khiri,TH,86.0,79,75,4.7,102.54,16.13
Essington,GB,56.77,100,75,6.93,-2.06,52.63
Shendi,SD,97.14,13,59,6.4,33.43,16.69
Babag,PH,90.0,67,87,0.74,126.07,7.73
Logan County,US,71.01,83,1,7.25,-89.37,40.13
Soda Springs,US,71.49,33,1,5.82,-108.27,45.57
Meizhuang,CN,87.24,57,47,10.89,116.41,28.59
San Giorgio a Cremano,IT,72.32,56,0,8.05,14.34,40.83
Nauheim,DE,54.79,82,1,1.95,8.46,49.95
Gemeente Roermond,NL,58.14,82,90,9.17,5.98,51.18
Halsou,FR,55.09,93,0,4.7,-1.42,43.38
Nógrád megye,HU,54.7,100,0,3.36,19.58,48.0
Ivars d'Urgell,ES,61.72,77,0,2.24,0.96,41.69
Westensee,DE,57.74,93,40,8.05,9.9,54.28
Lammi,FI,57.99,84,27,4.0,25.02,61.08
Kulkwitz,DE,55.87,76,0,5.82,12.23,51.28
Pleasanton,US,62.47,72,1,5.82,-121.87,37.66
Tilbury,GB,59.85,93,91,9.17,0.36,51.46
Secastilla,ES,59.58,67,0,3.36,0.25,42.19
Périgny,FR,53.13,93,0,2.24,2.55,48.7
Areni,AM,72.23,40,40,9.17,45.18,39.72
Caherlane,IE,52.27,81,40,9.17,-9.31,52.34
La Uvita,CO,56.46,90,85,3.49,-72.56,6.32
Dimos Xylokastro-Evrostina,GR,77.0,54,0,4.0,22.49,38.04
Rechtenfleth,DE,58.57,82,20,9.17,8.52,53.38
Baddomalhi,PK,90.59,63,20,1.12,74.67,31.99
Farra d'Alpago,IT,59.63,77,5,4.7,12.35,46.13
Velemin,CZ,54.95,71,0,2.24,13.98,50.54
Hassocks,GB,60.21,100,90,8.05,-0.17,50.93
Winnebago County,US,56.19,87,1,5.82,-93.72,43.38
North Crossett,US,73.9,88,1,1.14,-91.94,33.17
Westeregeln,DE,58.77,77,90,5.82,11.4,51.97
Sheohar,IN,95.7,50,74,10.02,85.3,26.52
Naka-gōchi,JP,84.72,70,75,12.75,131.33,34.02
Seiglers Crossroads,US,72.07,94,1,3.36,-81.66,33.64
Hentern,DE,51.51,93,1,3.36,6.7,49.62
Owego,US,65.73,77,75,6.93,-76.26,42.1
